area,quartos,suite,banheiros,vagas,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total,neighborhood,score,price_per_sqm,rent_level,price_per_room,price_per_bathroom,rent_to_condo_ratio,rooms_per_area,bathrooms_per_area,luxury_score,cluster
35.0,1.0,1,1.0,1.0,0,1,1,3200,670.0,139,41.0,82.0,4132,brooklin,118.05714285714286,118.05714285714286,Low,4132.0,4132.0,4.776119402985074,0.02857142857142857,0.02857142857142857,4,0
40.0,1.0,1,1.0,1.0,1,1,1,3500,770.0,217,45.0,90.0,4622,brooklin,115.55,115.55,Low,4622.0,4622.0,4.545454545454546,0.025,0.025,4,2
90.0,3.0,1,3.0,2.0,1,0,1,4720,1700.0,389,60.0,122.0,6991,brooklin,77.67777777777778,77.67777777777778,Low,2330.3333333333335,2330.3333333333335,2.776470588235294,0.03333333333333333,0.03333333333333333,4,5
32.0,1.0,1,1.0,1.0,1,0,1,3400,1064.0,143,44.0,88.0,4739,brooklin,148.09375,148.09375,Low,4739.0,4739.0,3.1954887218045114,0.03125,0.03125,3,2
300.0,4.0,2,3.0,2.0,0,0,1,14000,2640.0,1653,232.0,362.0,18887,brooklin,62.95666666666666,62.95666666666666,Medium,4721.75,6295.666666666667,5.303030303030303,0.013333333333333334,0.01,4,4
36.0,1.0,0,1.0,1.0,0,1,1,2670,955.0,185,34.0,69.0,3913,brooklin,108.69444444444444,108.69444444444444,Low,3913.0,3913.0,2.7958115183246073,0.027777777777777776,0.027777777777777776,2,0
64.0,2.0,1,2.0,2.0,1,0,1,4350,1700.0,400,56.0,112.0,6618,brooklin,103.40625,103.40625,Low,3309.0,3309.0,2.5588235294117645,0.03125,0.03125,4,5
60.0,1.0,0,1.0,1.0,1,0,1,2500,826.0,56,32.0,64.0,3478,brooklin,57.96666666666667,57.96666666666667,Low,3478.0,3478.0,3.026634382566586,0.016666666666666666,0.016666666666666666,1,1
160.0,3.0,3,3.0,3.0,1,0,1,8700,2302.0,989,111.0,225.0,12327,brooklin,77.04375,77.04375,Medium,4109.0,4109.0,3.7793223284100783,0.01875,0.01875,4,4
67.0,2.0,1,2.0,1.0,1,0,1,4370,1069.0,272,56.0,113.0,5880,brooklin,87.76119402985074,87.76119402985074,Low,2940.0,2940.0,4.087932647333957,0.029850746268656716,0.029850746268656716,3,5
45.0,1.0,0,1.0,1.0,0,0,0,3950,600.0,158,51.0,102.0,4861,brooklin,108.02222222222224,108.02222222222223,Low,4861.0,4861.0,6.583333333333333,0.022222222222222223,0.022222222222222223,0,2
25.0,1.0,0,1.0,0.0,0,0,1,2560,470.0,50,43.0,66.0,3189,brooklin,127.56,127.56,Low,3189.0,3189.0,5.446808510638298,0.04,0.04,1,0
30.0,1.0,0,1.0,0.0,0,1,1,4000,683.0,75,51.0,103.0,4912,brooklin,163.73333333333332,163.73333333333332,Low,4912.0,4912.0,5.856515373352855,0.03333333333333333,0.03333333333333333,2,0
40.0,1.0,0,1.0,1.0,1,1,1,3530,750.0,150,45.0,91.0,4566,brooklin,114.15,114.15,Low,4566.0,4566.0,4.706666666666667,0.025,0.025,2,0
62.0,2.0,0,1.0,1.0,1,1,1,4500,984.0,160,58.0,116.0,5818,brooklin,93.83870967741936,93.83870967741936,Low,2909.0,5818.0,4.573170731707317,0.03225806451612903,0.016129032258064516,2,2
58.0,2.0,1,2.0,1.0,1,1,1,6000,1750.0,221,77.0,155.0,8203,brooklin,141.43103448275863,141.43103448275863,Low,4101.5,4101.5,3.4285714285714284,0.034482758620689655,0.034482758620689655,4,2
64.0,2.0,1,2.0,2.0,1,0,1,6150,1222.0,271,78.0,159.0,7880,brooklin,123.125,123.125,Low,3940.0,3940.0,5.032733224222586,0.03125,0.03125,4,2
42.0,1.0,0,1.0,1.0,0,1,1,3550,1396.0,165,45.0,91.0,5247,brooklin,124.92857142857144,124.92857142857143,Low,5247.0,5247.0,2.54297994269341,0.023809523809523808,0.023809523809523808,2,2
95.0,2.0,0,3.0,2.0,1,0,1,5000,0.0,375,83.0,129.0,5587,brooklin,58.810526315789474,58.810526315789474,Low,2793.5,1862.3333333333333,5000.0,0.021052631578947368,0.031578947368421054,2,5
69.0,2.0,1,2.0,1.0,1,0,1,5640,1100.0,14,72.0,146.0,6972,brooklin,101.04347826086956,101.04347826086956,Low,3486.0,3486.0,5.127272727272727,0.028985507246376812,0.028985507246376812,3,5
92.0,2.0,2,3.0,2.0,1,0,1,10000,1542.0,1,127.0,259.0,11929,brooklin,129.66304347826087,129.66304347826087,Medium,5964.5,3976.3333333333335,6.485084306095979,0.021739130434782608,0.03260869565217391,4,4
26.0,1.0,0,1.0,0.0,0,0,1,2210,800.0,0,28.0,57.0,3095,brooklin,119.03846153846152,119.03846153846153,Low,3095.0,3095.0,2.7625,0.038461538461538464,0.038461538461538464,1,0
47.0,1.0,0,1.0,1.0,1,1,1,4700,772.0,202,60.0,121.0,5855,brooklin,124.5744680851064,124.57446808510639,Low,5855.0,5855.0,6.0880829015544045,0.02127659574468085,0.02127659574468085,2,2
21.0,1.0,1,1.0,0.0,0,0,1,1770,310.0,0,23.0,45.0,2148,brooklin,102.28571428571428,102.28571428571429,Low,2148.0,2148.0,5.709677419354839,0.047619047619047616,0.047619047619047616,3,0
60.0,2.0,1,2.0,1.0,1,1,1,7000,1200.0,416,89.0,181.0,8886,brooklin,148.1,148.1,Low,4443.0,4443.0,5.833333333333333,0.03333333333333333,0.03333333333333333,4,2
24.0,1.0,1,1.0,0.0,1,1,1,2399,600.0,26,31.0,62.0,3118,brooklin,129.91666666666666,129.91666666666666,Low,3118.0,3118.0,3.9983333333333335,0.041666666666666664,0.041666666666666664,4,0
58.0,2.0,1,2.0,1.0,1,1,1,6000,1750.0,221,77.0,155.0,8203,brooklin,141.43103448275863,141.43103448275863,Low,4101.5,4101.5,3.4285714285714284,0.034482758620689655,0.034482758620689655,4,2
67.0,1.0,0,1.0,1.0,1,0,1,3630,900.0,300,46.0,94.0,4970,brooklin,74.17910447761194,74.17910447761194,Low,4970.0,4970.0,4.033333333333333,0.014925373134328358,0.014925373134328358,1,2
30.0,1.0,1,1.0,0.0,0,1,1,3300,308.0,74,42.0,85.0,3809,brooklin,126.96666666666668,126.96666666666667,Low,3809.0,3809.0,10.714285714285714,0.03333333333333333,0.03333333333333333,4,0
25.0,1.0,0,1.0,0.0,0,1,1,3200,400.0,54,41.0,82.0,3777,brooklin,151.08,151.08,Low,3777.0,3777.0,8.0,0.04,0.04,2,0
136.0,3.0,3,4.0,3.0,1,0,0,11000,2116.0,750,140.0,284.0,14290,brooklin,105.07352941176472,105.07352941176471,Medium,4763.333333333333,3572.5,5.198487712665407,0.022058823529411766,0.029411764705882353,3,4
34.0,1.0,1,1.0,1.0,1,1,1,3450,630.0,7,44.0,89.0,4220,brooklin,124.11764705882354,124.11764705882354,Low,4220.0,4220.0,5.476190476190476,0.029411764705882353,0.029411764705882353,4,0
147.0,3.0,3,4.0,3.0,1,0,1,9500,2188.0,1077,121.0,246.0,13132,brooklin,89.33333333333333,89.33333333333333,Medium,4377.333333333333,3283.0,4.341864716636198,0.02040816326530612,0.027210884353741496,4,4
33.0,1.0,1,1.0,1.0,0,1,1,3100,1035.0,7,40.0,80.0,4262,brooklin,129.15151515151516,129.15151515151516,Low,4262.0,4262.0,2.995169082125604,0.030303030303030304,0.030303030303030304,4,0
36.0,1.0,0,1.0,1.0,1,1,1,3200,750.0,200,41.0,82.0,4273,brooklin,118.69444444444444,118.69444444444444,Low,4273.0,4273.0,4.266666666666667,0.027777777777777776,0.027777777777777776,2,0
33.0,1.0,0,1.0,0.0,1,1,1,2560,800.0,84,33.0,66.0,3543,brooklin,107.36363636363636,107.36363636363636,Low,3543.0,3543.0,3.2,0.030303030303030304,0.030303030303030304,2,0
55.0,1.0,1,1.0,1.0,1,1,1,6500,1300.0,144,83.0,168.0,8195,brooklin,149.0,149.0,Low,8195.0,8195.0,5.0,0.01818181818181818,0.01818181818181818,4,2
26.0,1.0,1,1.0,0.0,1,1,1,2890,520.0,0,37.0,74.0,3521,brooklin,135.42307692307693,135.42307692307693,Low,3521.0,3521.0,5.5576923076923075,0.038461538461538464,0.038461538461538464,4,0
152.0,4.0,2,4.0,3.0,0,1,1,9000,2450.0,917,115.0,233.0,12715,brooklin,83.65131578947368,83.65131578947368,Medium,3178.75,3178.75,3.673469387755102,0.02631578947368421,0.02631578947368421,5,4
50.0,1.0,1,2.0,1.0,1,0,1,5000,1300.0,209,64.0,129.0,6702,brooklin,134.04,134.04,Low,6702.0,3351.0,3.8461538461538463,0.02,0.04,3,2
29.0,1.0,0,1.0,0.0,1,1,1,3000,562.0,0,39.0,77.0,3678,brooklin,126.82758620689656,126.82758620689656,Low,3678.0,3678.0,5.338078291814947,0.034482758620689655,0.034482758620689655,2,0
35.0,1.0,0,1.0,0.0,0,1,0,4320,680.0,191,55.0,111.0,5357,brooklin,153.05714285714285,153.05714285714285,Low,5357.0,5357.0,6.352941176470588,0.02857142857142857,0.02857142857142857,1,0
74.0,2.0,1,2.0,1.0,1,0,0,6200,1300.0,250,79.0,160.0,7989,brooklin,107.95945945945944,107.95945945945945,Low,3994.5,3994.5,4.769230769230769,0.02702702702702703,0.02702702702702703,2,5
36.0,1.0,0,1.0,1.0,0,0,1,3600,950.0,84,46.0,93.0,4773,brooklin,132.58333333333334,132.58333333333334,Low,4773.0,4773.0,3.789473684210526,0.027777777777777776,0.027777777777777776,1,0
60.0,2.0,0,1.0,1.0,1,1,1,3500,1170.0,154,45.0,90.0,4959,brooklin,82.65,82.65,Low,2479.5,4959.0,2.9914529914529915,0.03333333333333333,0.016666666666666666,2,2
45.0,1.0,1,1.0,1.0,1,1,0,4200,700.0,100,54.0,108.0,5162,brooklin,114.71111111111112,114.71111111111111,Low,5162.0,5162.0,6.0,0.022222222222222223,0.022222222222222223,3,2
60.0,2.0,1,2.0,1.0,1,1,1,7000,1200.0,416,89.0,181.0,8886,brooklin,148.1,148.1,Low,4443.0,4443.0,5.833333333333333,0.03333333333333333,0.03333333333333333,4,2
167.0,3.0,3,4.0,3.0,0,1,1,12500,2200.0,823,159.0,323.0,16005,brooklin,95.83832335329342,95.83832335329342,Medium,5335.0,4001.25,5.681818181818182,0.017964071856287425,0.023952095808383235,5,4
14.0,1.0,1,1.0,0.0,0,1,0,2350,250.0,50,30.0,60.0,2740,brooklin,195.7142857142857,195.71428571428572,Low,2740.0,2740.0,9.4,0.07142857142857142,0.07142857142857142,3,0
45.0,1.0,1,1.0,1.0,1,1,1,5435,1000.0,71,69.0,140.0,6715,brooklin,149.22222222222223,149.22222222222223,Low,6715.0,6715.0,5.435,0.022222222222222223,0.022222222222222223,4,2
32.0,1.0,1,1.0,1.0,1,1,1,3300,675.0,0,42.0,85.0,4102,brooklin,128.1875,128.1875,Low,4102.0,4102.0,4.888888888888889,0.03125,0.03125,4,0
60.0,1.0,0,1.0,1.0,1,0,1,2500,826.0,56,32.0,64.0,3478,brooklin,57.96666666666667,57.96666666666667,Low,3478.0,3478.0,3.026634382566586,0.016666666666666666,0.016666666666666666,1,1
116.0,3.0,2,3.0,2.0,1,1,1,10000,1300.0,0,127.0,259.0,11686,brooklin,100.74137931034484,100.74137931034483,Medium,3895.3333333333335,3895.3333333333335,7.6923076923076925,0.02586206896551724,0.02586206896551724,5,4
69.0,2.0,1,2.0,1.0,1,0,1,7200,1100.0,31,92.0,186.0,8609,brooklin,124.76811594202898,124.76811594202898,Low,4304.5,4304.5,6.545454545454546,0.028985507246376812,0.028985507246376812,3,2
70.0,2.0,2,2.0,1.0,1,1,1,10900,1200.0,380,139.0,282.0,12901,brooklin,184.3,184.3,Medium,6450.5,6450.5,9.083333333333334,0.02857142857142857,0.02857142857142857,4,2
55.0,1.0,1,1.0,1.0,1,1,1,6500,1300.0,144,83.0,168.0,8195,brooklin,149.0,149.0,Low,8195.0,8195.0,5.0,0.01818181818181818,0.01818181818181818,4,2
75.0,2.0,1,2.0,1.0,1,0,1,5490,1330.0,145,70.0,142.0,7177,brooklin,95.69333333333331,95.69333333333333,Low,3588.5,3588.5,4.12781954887218,0.02666666666666667,0.02666666666666667,3,5
34.0,1.0,0,1.0,1.0,0,1,1,3000,738.0,18,39.0,77.0,3872,brooklin,113.88235294117646,113.88235294117646,Low,3872.0,3872.0,4.065040650406504,0.029411764705882353,0.029411764705882353,2,0
25.0,1.0,0,1.0,0.0,1,0,1,1900,620.0,0,25.0,49.0,2594,brooklin,103.76,103.76,Low,2594.0,2594.0,3.064516129032258,0.04,0.04,1,1
30.0,1.0,1,1.0,1.0,1,1,1,2800,650.0,84,36.0,72.0,3642,brooklin,121.4,121.4,Low,3642.0,3642.0,4.3076923076923075,0.03333333333333333,0.03333333333333333,4,0
26.0,1.0,1,1.0,0.0,1,1,1,2530,520.0,0,33.0,65.0,3148,brooklin,121.07692307692308,121.07692307692308,Low,3148.0,3148.0,4.865384615384615,0.038461538461538464,0.038461538461538464,4,0
145.0,3.0,3,4.0,2.0,1,0,1,18000,2827.0,583,229.0,466.0,22105,brooklin,152.44827586206895,152.44827586206895,High,7368.333333333333,5526.25,6.3671736823487795,0.020689655172413793,0.027586206896551724,4,4
70.0,3.0,0,1.0,0.0,1,0,1,1990,400.0,257,33.0,51.0,2731,brooklin,39.01428571428571,39.01428571428571,Low,910.3333333333334,2731.0,4.975,0.04285714285714286,0.014285714285714285,1,1
88.0,2.0,0,1.0,1.0,0,0,1,3500,1182.0,158,45.0,90.0,4975,brooklin,56.53409090909091,56.53409090909091,Low,2487.5,4975.0,2.961082910321489,0.022727272727272728,0.011363636363636364,1,1
58.0,1.0,1,2.0,1.0,1,0,1,4500,820.0,30,58.0,116.0,5524,brooklin,95.24137931034484,95.24137931034483,Low,5524.0,2762.0,5.487804878048781,0.017241379310344827,0.034482758620689655,3,2
115.0,3.0,0,3.0,2.0,1,0,1,6400,2200.0,618,82.0,165.0,9465,brooklin,82.30434782608695,82.30434782608695,Low,3155.0,3155.0,2.909090909090909,0.02608695652173913,0.02608695652173913,2,5
25.0,1.0,1,1.0,0.0,1,1,1,2740,615.0,0,35.0,70.0,3460,brooklin,138.4,138.4,Low,3460.0,3460.0,4.455284552845528,0.04,0.04,4,0
24.0,1.0,1,1.0,0.0,1,0,1,2408,550.0,67,31.0,62.0,3118,brooklin,129.91666666666666,129.91666666666666,Low,3118.0,3118.0,4.378181818181818,0.041666666666666664,0.041666666666666664,3,0
33.0,1.0,0,1.0,0.0,1,0,1,3100,400.0,90,40.0,80.0,3710,butanta,112.42424242424242,112.42424242424242,Low,3710.0,3710.0,7.75,0.030303030303030304,0.030303030303030304,1,0
20.0,1.0,1,1.0,0.0,0,1,0,1650,0.0,25,21.0,42.0,1738,butanta,86.9,86.9,Low,1738.0,1738.0,1650.0,0.05,0.05,3,0
71.0,2.0,1,2.0,1.0,1,1,1,6760,752.0,159,86.0,175.0,7932,butanta,111.71830985915491,111.71830985915493,Low,3966.0,3966.0,8.98936170212766,0.028169014084507043,0.028169014084507043,4,2
28.0,1.0,0,1.0,0.0,1,1,1,3200,430.0,13,41.0,82.0,3766,butanta,134.5,134.5,Low,3766.0,3766.0,7.441860465116279,0.03571428571428571,0.03571428571428571,2,0
32.0,1.0,0,1.0,0.0,1,1,1,3400,450.0,50,44.0,88.0,4032,butanta,126.0,126.0,Low,4032.0,4032.0,7.555555555555555,0.03125,0.03125,2,0
32.0,1.0,1,1.0,1.0,0,1,1,3800,435.0,0,49.0,98.0,4382,butanta,136.9375,136.9375,Low,4382.0,4382.0,8.735632183908047,0.03125,0.03125,4,0
40.0,2.0,0,1.0,0.0,1,0,1,3000,600.0,100,39.0,77.0,3816,butanta,95.4,95.4,Low,1908.0,3816.0,5.0,0.05,0.025,1,1
139.0,4.0,1,4.0,3.0,1,0,1,3450,2925.0,550,44.0,89.0,7058,butanta,50.776978417266186,50.776978417266186,Low,1764.5,1764.5,1.1794871794871795,0.02877697841726619,0.02877697841726619,4,5
37.0,1.0,0,1.0,0.0,0,0,1,2500,520.0,17,32.0,64.0,3133,butanta,84.67567567567568,84.67567567567568,Low,3133.0,3133.0,4.8076923076923075,0.02702702702702703,0.02702702702702703,1,1
25.0,1.0,0,1.0,0.0,0,1,1,3000,411.0,0,39.0,77.0,3527,butanta,141.08,141.08,Low,3527.0,3527.0,7.299270072992701,0.04,0.04,2,0
26.0,1.0,1,1.0,0.0,0,1,1,3290,502.0,73,42.0,85.0,3992,butanta,153.53846153846155,153.53846153846155,Low,3992.0,3992.0,6.553784860557769,0.038461538461538464,0.038461538461538464,4,0
31.0,1.0,1,1.0,0.0,0,1,1,3250,500.0,82,42.0,84.0,3958,butanta,127.6774193548387,127.6774193548387,Low,3958.0,3958.0,6.5,0.03225806451612903,0.03225806451612903,4,0
60.0,2.0,1,2.0,1.0,1,1,1,4850,1100.0,50,62.0,125.0,6187,butanta,103.11666666666666,103.11666666666666,Low,3093.5,3093.5,4.409090909090909,0.03333333333333333,0.03333333333333333,4,5
